merges,vocab_size,K,beta,R2,util_now,compression_ratio,chars_per_token,tokens_per_1k_chars,N_star,V_end,V_hat_star,util_star,train_K,train_beta,train_R2,train_util_now,train_compression_ratio,train_chars_per_token,train_tokens_per_1k_chars,train_N_star,train_V_end,train_V_hat_star,train_util_star
1600,1860,37.473323432601205,0.3622537177735023,0.9261788742925053,0.736021505376344,0.0022280498029073463,3.102716695926444,322.2981979994821,168035,1369,1860.0,1.0,434.16969112133637,0.10433864346586386,0.7408733677728977,0.8247311827956989,0.0003011562344151448,3.1466324977977096,317.8000610811361,1373570,1534,1860.0,1.0
1700,1960,34.32635457591385,0.3763548544338751,0.9349227391873274,0.736734693877551,0.0023664600951228557,3.13942915637984,318.5292453463505,166070,1444,1960.0,1.0,419.0720049598309,0.11225071029496345,0.7587292113002863,0.8295918367346938,0.000321438272928313,3.1882505679974034,313.6516339203909,1355640,1626,1960.0,1.0
1800,2060,31.53149280562478,0.3897278114898441,0.9444301639774149,0.737378640776699,0.0025057126300859897,3.1775048756704045,314.7123416416522,164080,1519,2060.0,1.0,400.1773526407346,0.12084750359551176,0.7762321838592348,0.833495145631068,0.0003416558299243048,3.227546139858939,309.8329060738712,1339135,1717,2060.0,1.0
1900,2160,28.866347420265075,0.4027963830411846,0.9494067607513857,0.7342592592592593,0.002632487187617273,3.2153253160653716,311.01052046071374,162150,1586,2160.0,1.0,384.9457018436574,0.12836881997841781,0.7860698690682371,0.8361111111111111,0.00036159788498384837,3.2649466118243384,306.2837218772269,1323795,1806,2160.0,1.0
2000,2260,26.4608700347375,0.4161408827730082,0.955823653343615,0.7358407079646018,0.0027765642886182994,3.247469556822075,307.9320629501405,160545,1663,2260.0,1.0,373.39220585966564,0.1353526158844722,0.790358106597775,0.8402654867256637,0.00038245954281799106,3.300247778961314,303.00755184955534,1309635,1899,2260.0,1.0
2500,2760,18.78135551262031,0.46954366589744184,0.9677954942582224,0.7275362318840579,0.003439341428831107,3.385377098146164,295.3880678603282,154005,2008,2760.0,1.0,322.23734143530527,0.16690170322617517,0.8026657082543628,0.8536231884057971,0.0004867790974778435,3.450298559887601,289.8299908378296,1252680,2356,2760.0,1.0
4500,4760,9.147519115847166,0.5755004719465523,0.989543751699835,0.605672268907563,0.005277744225071607,3.706825453252755,269.7726161134714,140650,2883,4760.0,1.0,129.7718057457274,0.29313398391070783,0.8985689900366116,0.8657563025210084,0.0009100208940003484,3.810032572141343,262.4649477571192,1134405,4121,4760.0,1.0
6500,6760,6.345739383659192,0.627002838537863,0.995180937855624,0.503698224852071,0.006491547374984462,3.8715701927004047,258.2931343684367,134665,3405,6760.0,1.0,57.500505608372315,0.3925792482577277,0.9438581295589078,0.8696745562130177,0.0013520091391013296,4.001277558936664,249.9201780607665,1080185,5879,6760.0,1.0
8500,8760,5.2831255147993375,0.6517394562795539,0.9973379659203835,0.416324200913242,0.00715725190252086,3.966562690200852,252.10744871635035,131440,3647,8760.0,1.0,28.166410261792134,0.4733593159038226,0.9703054791827488,0.867351598173516,0.0017986840395997055,4.120444827898508,242.6922436211859,1048945,7598,8760.0,1.0
10500,10760,4.787355768638802,0.6655493234284142,0.9979880858769734,0.3538104089219331,0.007640496202200183,4.036895083236547,247.71513239285338,129150,3807,10760.0,1.0,16.153774180147405,0.5348117796495973,0.984740883819556,0.8616171003717472,0.002244451994387361,4.200535499953836,238.06488482503957,1028945,9271,10760.0,1.0
12500,11174,4.797010527908411,0.664999169905134,0.9980569521858306,0.33909074637551456,0.007635296043749164,4.049594158996466,246.9383253574751,128745,3789,11174.0,1.0,14.823157920751578,0.5433400191462773,0.9869987801582173,0.8483980669411133,0.002304383013192965,4.217504793594879,237.1070215542373,1024805,9480,11174.0,1.0
14500,11174,4.797010527908411,0.664999169905134,0.9980569521858306,0.33909074637551456,0.007635296043749164,4.049594158996466,246.9383253574751,128745,3789,11174.0,1.0,14.823157920751578,0.5433400191462773,0.9869987801582173,0.8483980669411133,0.002304383013192965,4.217504793594879,237.1070215542373,1024805,9480,11174.0,1.0
